f_texture_id,lesion_id,texture_contrast_zero,texture_contrast_quarterRad,texture_contrast_halfRad,texture_contrast_threeQuaRad,texture_homogeneity_zero,texture_homogeneity_quarterRad,texture_homogeneity_halfRad,texture_homogeneity_threeQuaRad,texture_dissimilarity_zero,texture_dissimilarity_quarterRad,texture_dissimilarity_halfRad,texture_dissimilarity_threeQuaRad,texture_correlation_zero,texture_correlation_quarterRad,texture_correlation_halfRad,texture_correlation_threeQuaRad,texture_ASM_zero,texture_ASM_quarterRad,texture_ASM_halfRad,texture_ASM_threeQuaRad,texture_energy_zero,texture_energy_quarterRad,texture_energy_halfRad,texture_energy_threeQuaRad
157,157,643.1522785622593,404.73307034845493,229.2368589743589,229.2368589743589,0.08890084558312289,0.10963213463607747,0.13892777219579708,0.13595614087796437,18.320121951219516,13.917817225509532,11.06851732991014,10.437179487179488,0.7061379590813434,0.8160766790817661,0.8766090164659871,0.8937974829751105,0.0007965945774922919,0.0009303781682783356,0.0010713267561025057,0.0010887676692965156,0.02819881973507995,0.03045986144556262,0.0326979732209937,0.03295111108925839
158,158,566.5195454545453,524.6290170132326,246.96920289855078,246.96920289855078,0.11947617945150388,0.13074991947940412,0.15294244891705558,0.18252445289580835,14.920454545454549,14.491965973534969,12.697272727272729,9.16576086956522,0.6216337036829408,0.6558055869530299,0.7047333773480826,0.8339686826156314,0.0020347107438016556,0.002140054530965795,0.002268181818181821,0.002538118961352661,0.04504612810536338,0.04619686341510072,0.047564641458118534,0.050304635739118836
159,159,417.5608552631579,442.8062283737025,66.109477124183,66.109477124183,0.10245620127403254,0.13058656691265835,0.146530285228403,0.19094904742700736,13.879934210526315,13.847750865051902,9.508223684210527,5.813725490196074,0.47765929192879736,0.37889506276610174,0.6689725625560758,0.8850833088888403,0.003289473684210525,0.0034961267226206556,0.003641144390581718,0.004154385065573068,0.05719364334368976,0.059048468703998866,0.060173119484359376,0.06426859792873293
160,160,58.12500000000001,38.444444444444436,72.04166666666666,72.04166666666666,0.11099256975192247,0.1354175944483607,0.08236948251972159,0.11177412562787033,6.625000000000002,5.222222222222221,9.15,6.999999999999998,0.01599900237392432,0.1610875315731667,-0.5947590241967381,-0.3916723050108774,0.05375000000000001,0.05709876543209876,0.05250000000000002,0.050347222222222224,0.23144284223239409,0.23888969467163101,0.22894234188206375,0.22406546755377144
161,161,299.6302083333334,243.30955851728436,163.07010204081635,163.07010204081635,0.09033930613135047,0.09528521404454297,0.0945894909815655,0.11518758443942406,12.748876633986928,11.549458558933777,11.389297385620914,9.346632653061226,0.7130542762871994,0.7668838863457657,0.783087696304934,0.8434849152422188,0.0005307286994318425,0.0005704013026642202,0.0005595345606924687,0.0006293002915451893,0.022967833834775048,0.023805011602772156,0.02357646958121366,0.024994007984322136
162,162,382.5095795360397,345.4030140726737,315.5012422360249,315.5012422360249,0.08157916915241858,0.09088190657498293,0.08255123376162606,0.09658469944899793,14.8285521955261,13.49868725057761,15.178541839270919,13.095238095238091,0.7941431312567666,0.8114716040474176,0.7578250392816238,0.826517930973164,0.00035766404067957613,0.00037615606322479123,0.00034149579846641607,0.0003811956414575914,0.01887521320286656,0.01936980778984148,0.018460220529513932,0.019499442544194123
163,163,399.1796621182586,392.68016528925625,248.73173701298703,248.73173701298703,0.08591501096664331,0.08410071928432208,0.0769839972167138,0.09824081284228467,14.302956465237171,14.237520661157024,15.096166341780377,11.63027597402597,0.7911267416187748,0.790917222932313,0.7803631336969027,0.8663496692516587,0.0003770549216156412,0.00037941397445529694,0.0003626208085129919,0.00041298595884634796,0.01938192110656171,0.01943700587145177,0.019005528067534787,0.02026987961332807
164,164,385.7159090909091,239.9382716049383,311.63055555555553,311.63055555555553,0.056707609017604674,0.09533850577355509,0.05071995025826768,0.06316285440828186,15.863636363636367,11.91358024691358,15.153409090909086,14.413888888888888,0.2688704705528924,0.5026653204002564,0.41086593712713093,0.45330294559904416,0.006036931818181816,0.006992074378905651,0.006149922520661155,0.006234567901234571,0.07769465283217922,0.083609781413467,0.07840992734135808,0.07894340199365946
165,165,286.0186965811966,285.45215485756023,247.31472261735428,247.31472261735428,0.08412128133149503,0.07899939183894797,0.08086747171180449,0.09722361037633356,12.974893162393162,13.023739956172388,14.06463675213675,11.381578947368421,0.8099159392064279,0.806189720207216,0.7483746207493354,0.8328991148285705,0.000624994926989229,0.0006272806871981647,0.0006022297911542924,0.0006527476229692296,0.024985762960472172,0.025039099303311857,0.02453849972013465,0.025542699523741722
166,166,404.21875,420.99221453287197,149.4403594771242,149.4403594771242,0.06053434368937701,0.07025524476009101,0.08227656236355764,0.11126776253278545,15.429276315789473,15.378027681660901,12.471217105263158,9.273692810457517,0.4685509863944073,0.49940405832926743,0.698638795977611,0.8124950547343693,0.002156011945983379,0.0021775960536870955,0.002174948060941828,0.0023054701183305567,0.046404911106791714,0.0466055605632264,0.046607867497539986,0.047950363665592265
167,167,175.47978376777246,176.63683294796357,114.64551720209613,114.64551720209613,0.15045737791410535,0.14571067963295015,0.14245073132916114,0.16643867704645673,8.564419659132339,8.703795700647877,8.867338452424352,7.210475051264524,0.875763598866095,0.8754105048935635,0.875068302384775,0.9191010571466376,0.0009595026846374538,0.0009286267626514237,0.0009075651874949578,0.0010425181878036508,0.030631819645434093,0.03012355624279591,0.029771304477120474,0.031961767062032576
